Temperature(°C),Dew point temperature(°C),Wind speed (m/s),Humidity(%),Visibility (10m),Hour,Rented Bike Count
0.0,-8.2,2.5,54,1929,22,230
-0.3,-7.5,1.0,58,1945,23,173
-0.9,-7.7,0.7,60,1844,0,135
-1.2,-7.3,0.9,63,1846,1,122
-1.7,-7.2,0.8,66,1631,2,80
-1.9,-7.2,1.0,67,1575,3,46
-2.3,-7.2,1.1,69,1411,4,46
-2.5,-6.6,0.8,73,1134,5,65
-2.7,-7.0,0.5,72,1253,6,161
-3.1,-8.1,0.8,68,1417,7,402
-2.9,-8.9,0.7,63,1386,8,786
-1.1,-9.4,0.9,53,1308,9,416
1.9,-8.5,1.1,46,1233,10,289
4.6,-8.8,1.6,37,1309,11,356
6.9,-10.3,1.1,28,1301,12,428
8.1,-10.2,1.2,26,1422,13,444
9.9,-9.2,1.5,25,1401,14,455
10.3,-9.9,2.1,23,1317,15,521
9.5,-6.8,3.1,31,973,16,555
8.7,-7.9,3.1,30,1117,17,646
7.2,-11.0,2.3,26,1398,18,929
5.5,-10.7,2.7,30,1150,19,619
4.3,-10.9,1.7,32,1101,20,483
3.3,-10.3,1.4,36,1110,21,512
2.7,-9.5,1.0,40,1089,22,443
2.8,-9.8,0.7,39,1065,23,308
2.6,-9.6,1.8,40,1095,0,236
2.1,-8.9,0.9,44,1107,1,213
1.5,-9.4,1.2,44,1079,2,145
1.1,-9.8,1.0,44,1128,3,102
0.9,-9.4,0.8,46,1140,4,62
0.6,-8.6,0.1,50,1026,5,72
0.6,-8.6,0.4,50,985,6,183
1.3,-8.7,0.7,47,1084,7,443
2.0,-7.0,0.7,51,990,8,767
2.5,-6.6,1.0,51,866,9,455
3.3,-6.9,0.7,47,818,10,261
4.8,-7.3,0.8,41,792,11,342
5.4,-8.1,0.7,37,815,12,353
5.8,-7.1,0.6,39,931,13,335
6.3,-6.3,0.8,40,943,14,357
6.7,-3.5,0.8,48,817,15,402
6.9,-1.7,1.1,54,692,16,411
6.8,-1.1,1.0,57,623,17,529
6.6,-0.1,0.8,62,522,18,897
6.1,-5.2,1.0,44,750,19,616
5.9,-5.4,1.3,44,733,20,461
5.7,-5.0,0.8,46,727,21,449
5.4,-4.4,1.1,49,687,22,461
5.3,-3.5,1.5,53,582,23,310
5.1,-3.9,1.1,52,614,0,266
5.0,-3.8,1.4,53,557,1,229
5.2,-3.3,1.3,54,516,2,174
5.3,-3.0,1.7,55,488,3,116
5.4,-2.6,1.7,56,472,4,72
5.2,-2.1,1.7,59,437,5,62
5.2,-1.9,1.9,60,430,6,165
5.5,-1.8,2.8,59,448,7,426
5.7,-2.1,2.5,57,458,8,816
6.2,-2.1,2.4,55,478,9,419
6.5,-2.4,2.0,53,518,10,285
7.1,-2.6,2.2,50,534,11,332
7.6,-2.7,2.6,48,600,12,305
7.6,-0.3,2.3,57,554,13,28
5.7,2.5,3.7,80,348,14,17
4.8,2.8,2.9,87,312,15,7
4.2,2.5,2.5,89,479,16,9
3.8,2.3,2.7,90,654,17,8
3.6,2.1,2.1,90,845,18,11
2.5,1.7,1.9,95,838,19,19
2.7,2.1,1.5,96,1479,20,8
2.4,1.6,2.5,95,1349,21,10
2.3,1.7,1.9,96,1207,22,13
1.8,1.2,1.2,96,745,23,23
2.0,1.4,1.3,96,1894,0,71
2.1,1.6,0.2,97,859,1,147
2.0,1.5,1.0,97,580,2,180
1.6,1.1,2.3,97,469,3,92
1.6,1.1,1.1,97,636,4,28
2.2,1.7,2.9,97,362,5,11
3.0,2.4,2.7,96,303,6,33
2.6,0.9,4.3,89,320,7,61
1.5,-1.5,3.2,80,1246,8,148
0.1,-3.2,4.9,78,615,9,160
0.1,-8.3,5.3,53,1022,10,191
0.8,-7.9,4.6,52,1035,11,239
0.5,-9.8,4.7,46,1172,12,311
1.4,-11.7,4.0,37,1681,13,358
1.2,-12.2,6.0,36,1430,14,375
1.6,-12.2,4.5,35,1567,15,458
1.4,-13.1,4.8,33,1480,16,460
0.4,-12.6,5.2,37,1366,17,423
-0.8,-12.7,4.7,40,1429,18,317
-1.7,-12.1,3.3,45,1375,19,231
-2.2,-11.4,3.5,49,1325,20,246
-3.0,-11.9,3.7,50,1301,21,212
-3.6,-12.0,3.7,52,1277,22,190
-4.0,-12.4,3.4,52,1272,23,190
-4.3,-12.4,2.6,53,1334,0,156
-4.6,-12.9,2.1,52,1372,1,108
-5.3,-13.6,1.2,52,1434,2,71
-5.7,-14.4,1.7,50,1559,3,49
-5.8,-15.0,1.5,48,1552,4,47
-6.1,-15.1,1.0,49,1621,5,65
-6.4,-15.1,1.5,50,1593,6,135
-6.6,-14.8,0.5,52,1555,7,401
-6.2,-16.2,0.4,45,1600,8,617
-4.6,-18.1,1.2,34,1583,9,343
-1.8,-17.1,2.1,30,1608,10,274
0.1,-15.4,1.8,30,1640,11,343
1.8,-15.7,2.2,26,1556,12,388
2.3,-17.2,3.1,22,1627,13,375
3.4,-15.8,2.4,23,1545,14,450
4.3,-15.6,1.3,22,1837,15,463
5.2,-15.4,2.1,21,1721,16,574
4.3,-16.1,2.5,21,1961,17,631
3.5,-16.2,0.9,22,1961,18,854
2.0,-15.5,2.3,26,1985,19,568
1.2,-12.6,2.5,35,1977,20,427
1.0,-13.1,1.4,34,1880,21,396
0.5,-12.2,0.9,38,1907,22,414
0.3,-12.3,0.2,38,1895,23,284
0.5,-13.5,0.4,34,1889,0,218
0.6,-12.7,0.4,36,1933,1,229
0.9,-12.8,0.5,35,1856,2,176
0.8,-11.9,0.8,38,1594,3,149
0.6,-10.5,0.9,43,1599,4,93
0.8,-11.6,1.0,39,1463,5,55
0.5,-10.9,0.9,42,1543,6,71
0.1,-11.0,1.4,43,1502,7,159
0.4,-12.3,1.8,38,1564,8,306
2.2,-13.6,1.5,30,1513,9,329
5.1,-12.4,1.2,27,1563,10,354
8.1,-12.9,2.1,21,1738,11,431
10.7,-14.1,1.7,16,1657,12,605
12.2,-14.5,1.6,14,1896,13,771
14.4,-12.8,1.4,14,1833,14,1025
16.0,-11.5,2.2,14,1828,15,1238
15.8,-10.8,2.6,15,1867,16,1285
15.0,-6.5,2.5,22,1946,17,1197
13.9,-5.3,1.9,26,1995,18,920
12.7,-3.6,2.3,32,2000,19,630
11.1,1.3,3.7,51,1957,20,631
10.3,0.8,2.2,52,1843,21,588
10.2,0.0,1.7,49,1972,22,516
9.4,4.9,1.6,74,559,23,215
8.5,6.4,0.9,87,303,0,161
8.3,6.9,0.1,91,282,1,118
8.3,7.5,0.3,95,243,2,95
8.5,7.8,0.4,96,238,3,90
8.8,8.0,0.2,95,218,4,34
8.8,8.1,1.2,96,196,5,15
8.6,7.9,0.7,96,224,6,20
8.4,7.9,2.6,97,122,7,23
8.3,7.8,0.6,97,152,8,70
8.8,8.3,1.3,97,196,9,157
9.8,8.2,0.8,90,335,10,239
10.1,8.1,0.7,88,453,11,273
10.7,8.2,0.9,85,393,12,358
10.8,8.1,1.2,84,400,13,429
11.2,8.4,1.1,83,518,14,475
11.7,8.5,1.2,81,616,15,468
11.7,8.7,1.1,82,753,16,396
11.8,8.8,1.7,82,990,17,492
11.5,8.3,1.5,81,1475,18,436
11.2,8.0,2.3,81,1614,19,289
11.3,7.9,1.2,80,1978,20,26
10.6,8.8,2.1,89,606,21,7
9.6,8.3,2.5,92,721,22,8
8.7,7.3,2.9,91,957,23,9
7.6,5.7,2.5,88,1974,0,22
7.0,5.1,2.5,88,2000,1,23
6.3,4.6,2.2,89,1456,2,9
5.7,4.4,2.0,92,458,3,2
5.1,3.5,2.6,90,1005,4,4
4.7,3.0,2.3,89,1242,5,22
4.2,2.2,2.0,87,1979,6,20
3.8,1.8,2.2,87,2000,7,85
3.6,1.7,2.3,88,2000,8,184
3.7,1.4,1.8,85,2000,9,211
4.4,1.2,1.8,80,2000,10,232
6.1,0.2,1.9,66,2000,11,322
7.6,-0.1,2.4,58,2000,12,438
8.3,-1.2,2.0,51,2000,13,465
10.0,-1.7,1.9,44,2000,14,550
10.3,-1.7,2.5,43,2000,15,637
11.0,-2.4,1.2,39,2000,16,718
10.0,-2.0,1.4,43,2000,17,865
8.1,-2.5,1.7,47,2000,18,1155
5.8,-3.0,1.7,53,2000,19,782
4.3,-3.4,1.3,57,2000,20,578
3.1,-4.1,1.5,59,2000,21,533
2.3,-4.0,1.0,63,2000,22,466
1.9,-5.0,1.3,60,2000,23,274
1.3,-3.7,0.8,69,2000,0,224
0.8,-4.6,0.8,67,2000,1,188
0.3,-4.3,0.9,71,1999,2,122
0.1,-4.5,0.4,71,2000,3,82
-0.5,-4.3,0.6,75,1967,4,79
-0.9,-4.2,0.6,78,1687,5,80
-1.0,-4.5,0.4,77,1578,6,214
-1.0,-4.3,0.6,78,1484,7,583
-0.7,-4.4,1.0,76,1461,8,997
1.2,-5.2,0.8,62,1338,9,556
3.7,-5.5,1.3,51,1596,10,380
6.3,-6.0,1.3,41,1519,11,475
8.5,-6.4,1.9,34,1876,12,504
9.3,-8.7,2.2,27,1816,13,528
9.2,-8.8,2.9,27,1880,14,567
10.1,-9.6,1.8,24,1839,15,616
10.6,-8.1,1.9,26,1955,16,680
10.2,-8.0,2.8,27,1826,17,883
8.7,-8.8,3.2,28,2000,18,1246
7.1,-9.3,2.7,30,2000,19,833
6.1,-9.8,2.8,31,2000,20,666
5.5,-9.5,3.2,33,1995,21,625
4.5,-7.9,1.3,40,1871,22,514
3.5,-7.6,0.9,44,1905,23,361
2.8,-7.9,1.7,45,1493,0,289
2.8,-7.6,2.0,46,1709,1,194
2.6,-6.8,1.3,50,1962,2,134
2.7,-5.4,1.5,55,1989,3,92
2.6,-4.1,1.7,61,1998,4,49
2.5,-3.8,1.3,63,1987,5,97
2.4,-3.5,1.8,65,1989,6,232
2.2,-3.7,1.9,65,2000,7,598
2.6,-3.7,1.6,63,1857,8,1032
3.8,-3.7,2.0,58,1785,9,566
5.2,-3.8,1.5,52,1808,10,410
8.0,-3.8,1.7,43,1909,11,441
9.6,-3.7,1.8,39,1982,12,550
9.9,-3.4,1.9,39,1911,13,509
9.8,-3.8,0.9,38,1908,14,505
10.2,-4.9,2.3,34,1919,15,620
10.4,-4.0,3.2,36,1963,16,646
10.4,-3.6,1.0,37,2000,17,849
9.6,-2.7,2.0,42,2000,18,1365
8.9,-2.7,2.3,44,2000,19,799
8.5,-2.4,1.0,46,1977,20,587
7.9,-0.3,1.4,56,1975,21,411
7.2,0.0,1.4,60,1928,22,147
6.0,2.6,2.0,79,918,23,48
5.2,2.5,1.5,83,733,0,49
4.7,2.5,0.7,86,717,1,23
4.2,2.3,0.9,88,553,2,19
3.8,2.3,0.8,90,448,3,12
3.3,1.8,1.3,90,682,4,8
3.1,1.6,1.2,90,974,5,17
3.1,1.4,0.2,89,903,6,32
3.0,1.5,0.7,90,578,7,64
3.0,2.1,0.3,94,444,8,88
3.4,1.9,1.5,90,386,9,100
3.6,1.7,2.6,88,681,10,165
4.5,1.6,2.0,82,1226,11,290
5.6,0.9,3.0,72,1700,12,375
6.7,0.5,3.2,65,1651,13,405
7.7,0.8,2.4,62,1758,14,452
9.2,0.1,3.3,53,1896,15,555
9.5,1.1,3.1,56,994,16,594
7.5,1.1,4.3,64,538,17,757
5.9,0.4,3.4,68,543,18,1091
4.5,-0.1,2.7,72,529,19,683
3.3,-0.8,2.6,74,494,20,586
3.1,-1.0,3.2,74,465,21,533
2.8,-1.3,2.1,74,469,22,498
2.8,-1.5,1.8,73,468,23,315
3.0,-1.5,2.3,72,473,0,272
2.8,-1.5,2.6,73,413,1,228
2.8,-1.3,1.2,74,415,2,155
2.7,-1.2,0.7,75,417,3,105
2.5,-1.3,1.0,76,403,4,66
2.5,-1.3,0.7,76,544,5,88
2.5,-2.2,1.1,71,1055,6,195
1.6,-2.1,0.7,76,1024,7,574
1.8,-3.6,0.7,67,1917,8,1041
3.5,-3.5,1.3,60,1969,9,570
4.8,-3.7,1.3,54,1921,10,361
5.9,-3.4,0.7,51,1866,11,444
6.8,-2.6,1.0,51,1617,12,510
7.5,-3.9,2.0,44,1526,13,509
8.0,-4.1,1.5,42,1690,14,542
7.7,-1.8,2.9,51,670,15,611
9.6,-4.0,1.7,38,1052,16,686
8.9,-2.1,1.8,46,789,17,834
7.0,-1.4,2.0,55,705,18,1231
5.4,-1.7,3.9,60,990,19,718
4.3,-1.2,1.1,67,1125,20,535
3.5,-1.6,1.4,69,1177,21,537
2.9,-2.2,1.2,69,1179,22,521
2.5,-2.0,1.5,72,1071,23,309
2.1,-2.0,1.4,74,970,0,328
2.0,-1.9,1.0,75,658,1,305
1.6,-1.6,0.9,79,685,2,241
1.3,-1.7,0.6,80,705,3,139
0.9,-1.9,0.6,81,620,4,91
0.8,-2.2,0.3,80,565,5,79
1.1,-2.3,1.1,78,538,6,74
0.9,-2.5,1.1,78,535,7,208
1.5,-2.8,1.2,73,466,8,340
2.7,-2.0,1.3,71,418,9,381
3.5,-2.4,2.4,65,539,10,416
5.7,-1.9,2.3,58,700,11,497
7.1,-2.6,2.2,50,909,12,650
8.2,-3.9,3.1,42,1261,13,757
9.2,-4.4,2.6,38,1377,14,906
8.1,-6.1,4.7,36,1964,15,931
8.3,-5.5,3.8,37,1867,16,972
7.7,-3.2,2.8,46,1635,17,829
6.2,-0.7,3.2,61,1411,18,664
5.3,-0.3,2.6,67,1314,19,573
5.2,0.0,1.8,69,1196,20,447
5.0,0.5,2.2,73,1173,21,470
5.0,0.9,2.2,75,1084,22,421
5.1,1.0,1.4,75,950,23,345
5.1,1.3,1.9,77,718,0,376
4.8,1.6,1.3,80,583,1,222
4.7,1.1,1.5,78,466,2,171
4.4,1.2,1.6,80,393,3,115
4.2,1.2,1.3,81,333,4,80
3.9,1.6,1.6,85,264,5,45
3.4,1.1,1.5,85,234,6,63
2.9,0.4,1.9,84,241,7,119
2.8,0.0,1.2,82,240,8,212
3.9,0.2,2.0,77,263,9,289
5.9,0.6,2.6,69,330,10,394
7.6,-1.1,1.6,54,430,11,425
9.2,-3.7,2.6,40,592,12,666
10.3,-6.1,2.1,31,885,13,843
11.6,-10.6,2.7,20,1647,14,1154
11.9,-7.0,2.8,26,1338,15,1294
11.9,-7.5,2.7,25,1424,16,1205
11.1,-8.2,2.0,25,1765,17,1028
9.4,-11.2,2.9,22,1995,18,776
7.8,-9.6,1.9,28,1982,19,596
6.7,-8.8,1.9,32,1722,20,530
5.7,-8.9,1.0,34,1520,21,533
5.3,-10.5,2.3,31,1842,22,419
4.2,-10.3,1.7,34,1476,23,288
3.5,-7.0,1.1,46,1040,0,222
2.9,-6.2,0.8,51,1119,1,163
2.7,-7.7,0.4,46,1363,2,95
2.3,-7.6,0.8,48,1448,3,60
2.8,-6.1,0.6,52,1249,4,47
3.3,-5.3,0.4,53,1208,5,106
2.8,-4.8,0.7,57,920,6,261
3.0,-5.6,0.5,53,1094,7,662
3.8,-6.5,0.8,47,1229,8,1066
4.8,-6.7,1.0,43,1200,9,604
6.6,-6.0,1.0,40,1061,10,406
9.2,-6.2,1.1,33,892,11,463
11.7,-4.4,1.6,32,690,12,581
13.6,-1.9,1.8,34,458,13,588
14.9,-0.8,2.8,34,403,14,603
15.3,-1.3,2.9,32,458,15,694
14.5,-1.2,3.1,34,471,16,752
13.7,-0.3,2.6,38,436,17,931
12.2,0.0,2.8,43,463,18,1425
10.6,-0.2,2.0,47,425,19,946
9.4,-0.5,2.1,50,391,20,801
8.7,-1.4,1.7,49,464,21,771
7.8,-2.2,0.1,49,528,22,695
6.8,-1.3,0.9,56,497,23,397
6.4,-0.3,0.7,62,506,0,309
5.9,-0.1,1.0,65,596,1,231
5.4,-0.4,0.6,66,623,2,161
5.5,-1.2,0.6,62,722,3,103
6.2,-1.2,0.8,59,493,4,88
6.8,-1.3,0.9,56,570,5,97
7.0,-0.7,0.7,58,537,6,252
7.2,-1.0,0.5,56,545,7,668
8.0,-2.3,0.4,48,711,8,1215
9.4,-2.2,0.3,44,743,9,616
10.9,-2.1,0.5,40,714,10,428
12.6,2.1,1.4,49,988,11,571
15.5,4.2,3.3,47,1303,12,626
17.1,4.0,3.2,42,1305,13,678
18.3,5.4,2.2,43,1509,14,705
18.6,7.0,3.3,47,1560,15,815
17.6,7.8,3.7,53,1735,16,890
16.9,9.5,3.1,62,1562,17,1085
15.7,9.8,3.3,68,1473,18,1749
14.1,10.1,2.0,77,1240,19,1224
13.9,9.9,1.5,77,1010,20,986
13.7,10.1,2.0,79,1035,21,982
13.5,10.2,2.8,81,933,22,912
13.4,10.1,2.6,81,958,23,572
13.6,10.0,2.2,79,862,0,412
13.7,8.9,2.2,73,1182,1,309
13.8,8.4,1.3,70,1363,2,226
14.0,7.9,2.3,67,1733,3,142
14.0,8.6,1.5,70,1648,4,82
14.1,8.4,1.3,69,1923,5,123
14.1,8.4,1.6,69,1882,6,290
14.1,8.4,1.1,69,1692,7,786
14.2,8.1,0.9,67,1812,8,1371
14.6,7.3,1.2,62,1768,9,761
15.7,7.4,1.3,58,1980,10,552
17.5,8.3,2.1,55,1892,11,643
19.9,7.2,2.7,44,1874,12,813
20.9,8.1,4.7,44,1795,13,789
21.1,7.6,4.3,42,2000,14,878
21.7,7.1,3.3,39,1979,15,1025
21.7,7.8,3.2,41,2000,16,1049
20.5,9.4,3.5,49,2000,17,1325
19.2,9.3,2.4,53,2000,18,2100
17.9,8.4,2.9,54,2000,19,1478
17.2,9.3,2.5,60,1993,20,1275
16.8,10.6,2.0,67,1775,21,1181
16.2,10.9,2.0,71,1780,22,983
16.1,10.4,1.8,69,1666,23,587
16.0,10.3,2.4,69,1863,0,466
16.3,10.3,2.1,68,1859,1,355
16.5,10.5,1.3,68,1724,2,203
16.5,10.7,2.4,69,1659,3,51
15.1,12.7,2.1,86,877,4,9
14.5,13.5,2.0,94,487,5,8
14.4,13.7,0.7,96,453,6,10
14.3,13.8,0.3,97,189,7,15
14.1,13.6,1.1,97,342,8,39
14.1,13.7,1.1,98,253,9,32
14.2,13.8,1.2,98,299,10,27
13.9,13.5,1.4,98,296,11,65
13.3,12.8,2.9,97,771,12,204
12.7,12.2,2.6,97,467,13,269
12.1,11.6,2.0,97,177,14,289
11.6,11.1,3.4,97,117,15,329
10.7,10.3,1.2,98,196,16,214
10.9,10.5,1.3,98,222,17,411
10.4,10.0,2.5,98,116,18,676
10.4,10.0,2.0,98,391,19,606
10.5,10.0,1.8,97,372,20,533
10.4,9.7,2.7,96,499,21,567
9.8,8.2,3.7,90,493,22,506
9.3,7.7,4.1,90,609,23,343
8.4,6.1,2.2,86,2000,0,287
7.2,4.4,2.1,83,2000,1,278
6.7,1.9,2.1,72,2000,2,178
6.1,0.4,2.6,67,2000,3,102
5.7,-1.0,2.4,62,2000,4,85
5.2,-1.9,2.0,60,2000,5,85
4.4,-2.4,1.7,61,2000,6,222
3.7,-3.5,2.9,59,2000,7,652
3.8,-4.1,2.4,56,2000,8,1176
5.2,-4.1,1.7,51,2000,9,683
6.7,-4.1,2.2,46,1936,10,507
8.2,-3.0,2.4,45,1992,11,557
9.4,-3.5,2.6,40,1913,12,705
10.4,-3.3,2.4,38,1959,13,715
11.0,-3.5,1.8,36,1973,14,772
11.9,-4.3,1.9,32,1976,15,923
11.6,-4.9,1.4,31,1999,16,976
11.2,-5.7,1.5,30,2000,17,1160
10.0,-5.5,1.2,33,2000,18,1641
8.1,-6.1,1.2,36,2000,19,974
6.7,-5.6,1.0,41,2000,20,774
5.8,-5.8,1.8,43,2000,21,710
4.9,-5.7,0.8,46,2000,22,660
4.2,-6.1,1.3,47,2000,23,455
3.7,-6.3,1.6,48,2000,0,414
3.0,-5.9,0.7,52,2000,1,366
2.3,-5.5,0.6,56,2000,2,268
1.8,-5.3,0.7,59,2000,3,157
1.3,-5.4,0.7,61,2000,4,103
1.0,-5.4,0.9,62,2000,5,60
0.8,-5.4,1.0,63,2000,6,109
0.5,-5.5,0.8,64,2000,7,193
1.3,-6.2,1.0,57,1974,8,384
3.4,-6.3,1.6,49,1950,9,520
6.0,-5.6,1.0,43,1829,10,561
8.0,-5.1,1.2,39,1783,11,742
10.0,-3.6,1.5,38,1677,12,933
10.9,-5.1,1.2,32,1772,13,1111
12.1,-5.4,2.3,29,1734,14,1294
13.2,-7.5,2.8,23,1696,15,1514
13.7,-4.5,2.1,28,1499,16,1440
12.1,-3.3,2.5,34,1240,17,1272
10.6,-1.8,2.8,42,1307,18,934
8.8,-1.3,3.2,49,1207,19,718
7.9,-0.8,2.3,54,1005,20,688
7.4,-1.3,2.0,54,1142,21,624
7.0,-1.4,2.7,55,1041,22,562
6.4,-1.0,1.1,59,961,23,422
5.9,-2.2,1.1,56,1019,0,407
5.7,-2.6,1.4,55,1043,1,309
5.5,-2.5,1.2,56,1067,2,226
5.5,-2.3,1.1,57,1079,3,174
5.6,-2.7,0.4,55,1115,4,106
5.6,-2.7,1.2,55,1008,5,67
5.7,-2.9,1.7,54,1208,6,73
5.5,-2.1,1.0,58,937,7,152
5.9,-1.7,1.8,58,861,8,293
6.3,-2.5,0.5,53,849,9,398
7.2,-1.7,1.6,53,709,10,460
8.5,-1.6,0.7,49,718,11,587
9.8,-1.2,1.2,46,710,12,751
10.6,-1.4,1.3,43,705,13,881
11.0,-1.7,1.1,41,763,14,993
12.0,-2.2,0.8,37,879,15,1128
12.3,-4.8,1.6,30,1263,16,1059
11.1,-1.3,2.2,42,765,17,603
10.4,-0.4,0.4,47,824,18,365
10.0,0.8,1.7,53,796,19,237
9.2,3.1,1.1,66,513,20,146
8.8,4.0,0.9,72,501,21,71
8.1,4.1,0.8,76,492,22,70
7.4,4.1,1.3,80,471,23,53
7.0,3.9,1.1,81,421,0,67
6.7,4.1,0.8,84,320,1,38
6.6,4.4,0.6,86,416,2,28
6.5,4.6,0.9,88,276,3,12
6.3,4.7,1.0,90,240,4,9
6.2,4.5,1.5,89,338,5,27
6.5,4.6,1.2,88,417,6,91
6.5,4.6,1.4,88,515,7,370
7.3,4.7,2.2,84,813,8,592
8.2,5.1,2.7,81,1273,9,387
9.1,5.2,2.7,77,1587,10,292
10.2,3.9,3.3,65,2000,11,393
10.2,2.2,3.5,58,2000,12,403
10.1,2.9,3.7,61,1504,13,387
10.1,2.4,3.3,59,2000,14,326
9.8,1.6,3.0,57,2000,15,263
8.9,2.2,3.0,63,1614,16,271
8.5,0.9,2.7,59,1927,17,605
8.6,0.0,2.4,55,1958,18,1200
8.4,-1.1,3.3,51,1977,19,818
8.3,-2.3,3.1,47,2000,20,711
8.0,-2.6,3.3,47,2000,21,731
7.6,-2.7,3.1,48,2000,22,565
6.9,-4.5,3.3,44,2000,23,382
6.3,-5.6,3.3,42,2000,0,297
5.5,-6.4,3.1,42,2000,1,243
5.1,-6.1,3.4,44,2000,2,165
4.7,-6.5,3.8,44,2000,3,95
4.4,-6.8,3.1,44,2000,4,69
4.1,-7.6,3.1,42,2000,5,92
3.9,-7.5,3.4,43,2000,6,235
3.8,-7.3,4.1,44,2000,7,677
4.3,-7.2,4.2,43,2000,8,1212
5.7,-7.5,3.9,38,1985,9,661
7.4,-7.0,3.5,35,1990,10,418
8.4,-6.5,3.6,34,1966,11,488
9.0,-6.4,3.1,33,1985,12,522
8.0,-5.8,3.4,37,2000,13,516
7.3,-6.1,3.4,38,1997,14,478
6.5,-6.4,3.3,39,2000,15,492
5.6,-6.3,4.2,42,2000,16,518
4.9,-6.6,4.3,43,2000,17,719
4.1,-7.3,3.5,43,2000,18,1111
3.2,-7.6,3.7,45,2000,19,716
2.7,-8.0,3.3,45,2000,20,543
2.3,-9.9,3.3,40,2000,21,494
2.0,-11.1,2.7,37,2000,22,460
1.8,-11.3,2.3,37,2000,23,294
1.6,-10.8,2.3,39,2000,0,240
1.5,-10.6,2.8,40,2000,1,223
1.4,-10.7,2.9,40,2000,2,147
1.3,-10.8,2.1,40,2000,3,82
1.3,-11.1,2.3,39,2000,4,70
1.3,-10.8,2.3,40,2000,5,80
1.4,-10.1,1.7,42,2000,6,209
1.4,-9.8,1.5,43,2000,7,605
1.6,-9.9,1.8,42,2000,8,1097
2.5,-9.7,1.9,40,2000,9,614
3.6,-9.7,1.3,37,2000,10,374
4.8,-9.4,2.1,35,2000,11,339
4.8,-4.5,2.2,51,1715,12,333
4.0,-2.2,2.0,64,1834,13,196
1.9,0.2,1.5,89,102,14,117
2.2,0.0,1.3,85,2000,15,184
2.4,-0.8,1.9,79,1995,16,241
2.5,-0.9,2.0,78,2000,17,319
2.0,-1.6,1.3,77,2000,18,615
2.0,-0.9,0.7,81,2000,19,402
1.7,-0.5,1.3,85,396,20,120
1.2,0.0,0.7,92,1474,21,231
1.2,-0.7,0.9,87,1802,22,320
1.5,-0.5,1.2,86,1495,23,226
1.6,-0.4,1.7,86,1141,0,243
1.6,-0.6,2.0,85,952,1,247
1.5,-0.5,2.5,86,782,2,173
1.3,-0.6,1.7,87,822,3,107
1.3,-0.6,2.2,87,937,4,75
1.1,-0.6,0.9,88,927,5,81
0.8,-0.9,1.0,88,900,6,212
0.6,-1.6,1.5,85,1321,7,600
1.1,-2.1,1.7,79,1480,8,1174
2.5,-3.0,1.3,67,1472,9,653
4.9,-3.1,1.9,56,1480,10,446
6.9,-3.9,2.1,46,1541,11,565
8.3,-5.9,2.5,36,1665,12,668
9.9,-7.3,3.2,29,1641,13,648
11.4,-5.5,3.1,30,1672,14,674
10.7,-4.5,4.5,34,1850,15,758
10.3,-4.9,3.8,34,1850,16,752
9.6,-4.0,3.2,38,1606,17,999
7.9,-3.0,3.1,46,1057,18,1495
6.2,-2.4,1.8,54,883,19,923
5.1,-2.9,2.0,56,899,20,739
4.5,-2.1,2.0,62,826,21,726
3.9,-1.8,2.7,66,990,22,621
3.4,-1.7,1.1,69,895,23,428
2.9,-1.6,1.3,72,903,0,335
2.5,-1.4,1.5,75,786,1,283
2.2,-0.8,1.4,80,615,2,216
1.9,-1.0,1.1,81,525,3,128
2.0,-1.0,0.8,80,474,4,92
2.2,-1.0,0.8,79,553,5,95
2.3,-0.8,0.7,80,546,6,243
2.5,-0.7,1.4,79,536,7,661
2.6,-1.0,1.3,77,567,8,1216
3.3,-1.2,1.4,72,618,9,664
5.4,-0.8,1.6,64,637,10,461
7.1,-2.6,1.7,50,799,11,584
9.3,-4.6,2.3,37,940,12,690
10.9,-3.6,2.1,36,1073,13,682
12.4,-3.4,2.9,33,811,14,758
12.1,-4.9,3.0,30,1120,15,849
12.2,-7.8,2.8,24,1655,16,901
11.2,-7.1,3.5,27,1585,17,1108
9.7,-4.6,3.6,36,948,18,1611
8.3,-2.0,3.0,48,779,19,932
6.7,-3.5,2.6,48,774,20,724
5.8,-1.3,2.2,60,650,21,676
5.3,-1.1,1.8,63,591,22,638
5.0,-6.8,1.7,42,717,23,422
4.7,-5.9,1.7,46,746,0,403
4.7,-4.5,1.1,51,728,1,360
5.0,-4.5,1.7,50,669,2,305
5.0,-4.3,0.8,51,659,3,197
5.1,-3.4,1.2,54,550,4,122
4.7,-3.8,1.3,54,543,5,82
4.2,-5.3,0.6,50,633,6,113
4.0,-4.4,0.9,54,587,7,198
4.5,-5.3,0.4,49,580,8,424
6.5,-6.1,2.5,40,588,9,456
7.2,-4.5,1.5,43,559,10,494
9.0,0.6,2.0,56,399,11,589
10.6,1.1,3.1,52,390,12,806
12.4,2.2,2.5,50,379,13,880
12.7,3.8,3.4,55,378,14,855
12.4,4.3,4.1,58,404,15,1025
12.3,4.9,3.4,61,359,16,947
11.1,4.9,4.2,66,367,17,916
9.0,4.9,3.0,76,288,18,736
7.7,4.4,2.8,80,234,19,521
7.1,4.4,3.3,83,203,20,513
6.7,4.1,2.8,84,193,21,487
6.5,4.1,2.3,85,167,22,460
6.4,4.0,2.3,85,155,23,354
6.4,3.8,1.4,84,171,0,372
